ID,Score
01000066,Toán:   7.20   Ngữ văn:   6.50   Lịch sử:   3.50   Địa lí:   4.00   
01000067,Toán:   8.00   Ngữ văn:   9.50   Lịch sử:   6.50   Địa lí:   6.25   GDCD:   7.75   KHXH: 6.83   Tiếng Anh:   8.80   
01000068,Toán:   8.40   Ngữ văn:   9.00   Lịch sử:   8.25   Địa lí:   7.75   GDCD:  10.00   KHXH: 8.67   Tiếng Trung:   9.60   
01000069,Toán:   7.60   Ngữ văn:   9.00   Lịch sử:   7.25   Địa lí:   6.75   GDCD:   9.50   KHXH: 7.83   Tiếng Anh:   9.60   
01000070,Toán:   8.60   Ngữ văn:   8.50   Lịch sử:   5.25   Địa lí:   7.75   GDCD:   8.50   KHXH: 7.17   Tiếng Anh:   8.20   
01000071,Toán:   8.20   Ngữ văn:   9.00   Lịch sử:   5.50   Địa lí:   6.25   GDCD:   9.00   KHXH: 6.92   Tiếng Hàn:   9.00   
01000072,Toán:   7.00   Ngữ văn:   5.50   Vật lí:   7.25   Hóa học:   4.75   Sinh học:   6.50   KHTN: 6.17   Tiếng Anh:   9.80   
01000073,Toán:   7.40   Ngữ văn:   7.75   Lịch sử:   6.00   Địa lí:   7.00   GDCD:   8.00   KHXH: 7   Tiếng Anh:   5.60   
01000074,Toán:   8.00   Ngữ văn:   9.00   Lịch sử:   6.25   Địa lí:   5.75   GDCD:   7.75   KHXH: 6.58   Tiếng Anh:   8.00   
01000075,Toán:   7.80   Ngữ văn:   8.50   Vật lí:   8.00   Hóa học:   5.25   Sinh học:   6.00   KHTN: 6.42   Tiếng Anh:   9.20   
01000076,Toán:   8.20   Ngữ văn:   8.00   Vật lí:   7.00   Hóa học:   8.50   Sinh học:   8.25   KHTN: 7.92   Tiếng Anh:   8.60   
01000077,Toán:   6.60   Ngữ văn:   7.75   Lịch sử:   5.75   Địa lí:   5.50   GDCD:   7.25   KHXH: 6.17   Tiếng Anh:   6.20   
01000078,Toán:   3.40   Ngữ văn:   6.50   Lịch sử:   4.25   Địa lí:   6.25   
01000079,Toán:   6.00   Ngữ văn:   8.75   Lịch sử:   8.00   Địa lí:   6.00   GDCD:   8.00   KHXH: 7.33   Tiếng Anh:   6.80   
01000080,Toán:   7.60   Ngữ văn:   8.25   Vật lí:   7.75   Hóa học:   7.25   Sinh học:   7.75   KHTN: 7.58   Tiếng Anh:   8.40   
01000081,Toán:   7.60   Ngữ văn:   8.75   Lịch sử:   7.25   Địa lí:   5.50   GDCD:   8.50   KHXH: 7.08   Tiếng Anh:   8.40   
01000082,Toán:   9.20   Ngữ văn:   8.75   Vật lí:   7.75   Hóa học:   7.00   Sinh học:   8.00   KHTN: 7.58   Tiếng Anh:   9.20   
01000083,Toán:   8.20   Ngữ văn:   9.00   Lịch sử:   7.75   Địa lí:   7.75   GDCD:   9.50   KHXH: 8.33   Tiếng Anh:   9.60   
01000084,Toán:   7.60   Ngữ văn:   9.50   Lịch sử:   7.00   Địa lí:   6.50   GDCD:   8.50   KHXH: 7.33   Tiếng Anh:   8.00   
01000085,Ngữ văn:   5.50   Lịch sử:   3.00   Địa lí:   6.00   
01000086,Ngữ văn:   6.00   Lịch sử:   7.00   Địa lí:   6.25   
01000087,Toán:   6.80   Ngữ văn:   6.25   Lịch sử:   4.25   Địa lí:   5.00   GDCD:   8.00   KHXH: 5.75   Tiếng Anh:   7.60   
01000088,Toán:   6.20   Ngữ văn:   8.50   Tiếng Trung:   6.60   
01000089,Toán:   8.20   Ngữ văn:   8.75   Lịch sử:   7.75   Địa lí:   7.00   GDCD:   9.50   KHXH: 8.08   Tiếng Anh:   9.40   
01000090,Toán:   7.00   Ngữ văn:   8.50   Lịch sử:   4.75   Địa lí:   5.25   GDCD:   8.25   KHXH: 6.08   Tiếng Anh:   7.00   
01000091,Toán:   6.60   Ngữ văn:   8.50   Lịch sử:   6.50   Địa lí:   4.25   GDCD:   9.00   KHXH: 6.58   Tiếng Anh:   8.40   
01000092,Toán:   7.80   Ngữ văn:   8.50   Lịch sử:   5.25   Địa lí:   6.25   GDCD:   9.00   KHXH: 6.83   Tiếng Anh:   9.00   
01000093,Toán:   2.40   Ngữ văn:   6.25   Lịch sử:   4.25   Địa lí:   4.50   
01000094,Toán:   7.60   Ngữ văn:   9.00   Lịch sử:   7.25   Địa lí:   6.50   GDCD:   9.25   KHXH: 7.67   Tiếng Anh:   9.20   
01000095,Toán:   8.20   Ngữ văn:   9.50   Lịch sử:   6.50   Địa lí:   7.00   GDCD:   9.00   KHXH: 7.5   Tiếng Anh:   8.60   
01000096,Toán:   8.00   Ngữ văn:   9.25   Lịch sử:   6.00   Địa lí:   7.25   GDCD:   8.25   KHXH: 7.17   Tiếng Anh:   7.40   
01000097,Toán:   8.40   Ngữ văn:   8.25   Lịch sử:   7.25   Địa lí:   8.00   GDCD:   9.25   KHXH: 8.17   Tiếng Anh:   9.60   
01000098,Toán:   8.20   Ngữ văn:   9.25   Lịch sử:   7.50   Địa lí:   6.75   GDCD:   8.75   KHXH: 7.67   Tiếng Anh:   9.40   
01000099,Toán:   8.60   Ngữ văn:   9.50   Lịch sử:   7.00   Địa lí:   8.00   GDCD:   9.25   KHXH: 8.08   Tiếng Anh:   9.20   
01000100,Toán:   7.00   Ngữ văn:   9.25   Lịch sử:   7.00   Địa lí:   6.25   GDCD:   9.75   KHXH: 7.67   Tiếng Anh:   8.80   
01000101,Toán:   6.60   Ngữ văn:   8.25   Lịch sử:   7.25   Địa lí:   6.75   GDCD:   9.75   KHXH: 7.92   Tiếng Anh:   8.00   
01000102,Toán:   6.80   Ngữ văn:   9.00   Lịch sử:   4.25   Địa lí:   5.50   GDCD:   7.50   KHXH: 5.75   Tiếng Anh:   6.80   
01000103,Toán:   8.00   Ngữ văn:   9.00   Lịch sử:   7.75   Địa lí:   6.75   GDCD:   8.50   KHXH: 7.67   Tiếng Anh:   9.00   
01000104,Toán:   3.00   Ngữ văn:   3.25   Lịch sử:   4.50   Địa lí:   4.75   
01000105,Toán:   7.60   Ngữ văn:   8.50   Lịch sử:   6.00   Địa lí:   5.75   GDCD:   9.50   KHXH: 7.08   Tiếng Anh:   6.60   
01000106,Toán:   4.40   Ngữ văn:   6.50   Lịch sử:   6.75   Địa lí:   6.25   
01000107,Toán:   6.80   Ngữ văn:   8.25   Lịch sử:   4.25   Địa lí:   6.75   GDCD:   7.75   KHXH: 6.25   Tiếng Anh:   6.60   
01000108,Toán:   7.60   Ngữ văn:   8.50   Vật lí:   6.75   Hóa học:   8.25   Sinh học:   5.50   KHTN: 6.83   Tiếng Anh:   8.00   
01000109,Toán:   6.60   Ngữ văn:   8.75   Lịch sử:   4.50   Địa lí:   6.00   GDCD:   9.25   KHXH: 6.58   Tiếng Anh:   5.80   
01000110,Toán:   8.40   Vật lí:   7.50   Tiếng Anh:   8.00   
01000111,Toán:   3.60   Ngữ văn:   4.50   Lịch sử:   4.50   Địa lí:   5.25   
01000112,Toán:   7.40   Ngữ văn:   9.25   Lịch sử:   4.25   Địa lí:   6.00   GDCD:   7.50   KHXH: 5.92   Tiếng Anh:   7.20   
01000113,Toán:   8.20   Ngữ văn:   6.50   Vật lí:   7.50   Hóa học:   8.00   Sinh học:   6.25   KHTN: 7.25   Tiếng Anh:   6.80   
01000114,Toán:   5.20   Ngữ văn:   8.75   Lịch sử:   8.25   Địa lí:   7.50   GDCD:   8.00   KHXH: 7.92   Tiếng Anh:   7.20   
01000115,Toán:   6.60   Ngữ văn:   6.50   Lịch sử:   3.50   Địa lí:   5.00   GDCD:   7.75   KHXH: 5.42   Tiếng Anh:   7.00   
01000116,Toán:   7.20   Ngữ văn:   7.25   Vật lí:   5.00   Hóa học:   7.00   Sinh học:   5.50   KHTN: 5.83   Tiếng Anh:   8.00   
01000117,Toán:   3.40   Ngữ văn:   7.75   Lịch sử:   4.25   Địa lí:   3.75   
01000118,Toán:   6.60   Ngữ văn:   8.50   Lịch sử:   5.75   Địa lí:   5.50   GDCD:   8.25   KHXH: 6.5   Tiếng Anh:   8.20   
01000119,Toán:   6.80   Ngữ văn:   8.75   Lịch sử:   6.00   Địa lí:   5.00   GDCD:   8.00   KHXH: 6.33   Tiếng Anh:   8.40   
01000120,Toán:   7.60   Ngữ văn:   9.50   Lịch sử:   6.25   Địa lí:   6.75   GDCD:   9.00   KHXH: 7.33   Tiếng Anh:   9.20   
01000121,Toán:   7.40   Ngữ văn:   9.25   Lịch sử:   5.00   Địa lí:   5.25   GDCD:   8.75   KHXH: 6.33   Tiếng Anh:   7.80   
01000122,Toán:   5.00   Ngữ văn:   7.00   Vật lí:   5.50   Hóa học:   3.50   Sinh học:   5.00   KHTN: 4.67   Tiếng Anh:   3.80   
01000123,Toán:   7.80   Ngữ văn:   8.25   Vật lí:   4.50   Hóa học:   7.25   Sinh học:   6.00   KHTN: 5.92   Tiếng Anh:   8.00   
01000124,Toán:   7.80   Ngữ văn:   6.25   Vật lí:   8.25   Hóa học:   4.75   Sinh học:   6.75   KHTN: 6.58   Tiếng Anh:   8.20   
01000125,Toán:   6.60   Ngữ văn:   8.75   Lịch sử:   6.50   Địa lí:   7.50   GDCD:   8.00   KHXH: 7.33   Tiếng Anh:   9.40   
01000126,Toán:   4.80   Ngữ văn:   6.25   Lịch sử:   5.75   Địa lí:   6.00   
01000127,Toán:   8.20   Ngữ văn:   6.75   Vật lí:   7.75   Hóa học:   3.25   Sinh học:   6.25   KHTN: 5.75   Tiếng Anh:   7.60   
01000128,Toán:   6.80   Ngữ văn:   7.50   Lịch sử:   4.50   Địa lí:   6.00   GDCD:   5.75   KHXH: 5.42   Tiếng Anh:   8.20   
01000129,Toán:   7.80   Ngữ văn:   8.00   Vật lí:   6.75   Hóa học:   7.25   Sinh học:   8.00   KHTN: 7.33   Tiếng Anh:   9.00   
01000130,Toán:   6.60   Ngữ văn:   8.75   Lịch sử:   6.50   Địa lí:   6.75   GDCD:   9.25   KHXH: 7.5   
01000131,Toán:   8.40   Ngữ văn:   9.25   Lịch sử:   7.50   Địa lí:   6.75   GDCD:   8.25   KHXH: 7.5   Tiếng Anh:   8.80   
01000132,Toán:   6.60   Ngữ văn:   8.00   Vật lí:   7.50   Hóa học:   5.50   Sinh học:   5.25   KHTN: 6.08   Tiếng Anh:   7.60   
01000133,Toán:   8.80   Ngữ văn:   8.50   Lịch sử:   5.25   Địa lí:   6.75   GDCD:   8.75   KHXH: 6.92   Tiếng Anh:   8.20   
